Tabla de símbolos
navidad SymbolInfo{lexema='navidad', tipo='SUMA', scope='global', linea=1, columna=14}
hada SymbolInfo{lexema='hada', tipo='ELSE', scope='global', linea=10, columna=4}
envia SymbolInfo{lexema='envia', tipo='RETURN', scope='global', linea=1, columna=4}
100000 SymbolInfo{lexema='100000', tipo='LIT_ENTERO', scope='global', linea=6, columna=24}
rodolfo SymbolInfo{lexema='rodolfo', tipo='ENTERO', scope='global', linea=0, columna=0}
rodolfo SymbolInfo{lexema='rodolfo', tipo='ENTERO', scope='global', linea=0, columna=26}
rodolfo SymbolInfo{lexema='rodolfo', tipo='ENTERO', scope='global', linea=0, columna=39}
rodolfo SymbolInfo{lexema='rodolfo', tipo='ENTERO', scope='global', linea=5, columna=4}
rodolfo SymbolInfo{lexema='rodolfo', tipo='ENTERO', scope='global', linea=6, columna=4}
abreregalo SymbolInfo{lexema='abreregalo', tipo='PARENTESIS_ABRE', scope='global', linea=0, columna=15}
abreregalo SymbolInfo{lexema='abreregalo', tipo='PARENTESIS_ABRE', scope='global', linea=7, columna=9}
abreregalo SymbolInfo{lexema='abreregalo', tipo='PARENTESIS_ABRE', scope='global', linea=8, columna=14}
abreregalo SymbolInfo{lexema='abreregalo', tipo='PARENTESIS_ABRE', scope='global', linea=11, columna=14}
abreregalo SymbolInfo{lexema='abreregalo', tipo='PARENTESIS_ABRE', scope='global', linea=13, columna=11}
_suma_ SymbolInfo{lexema='_suma_', tipo='IDENTIFICADOR', scope='global', linea=0, columna=8}
_suma_ SymbolInfo{lexema='_suma_', tipo='IDENTIFICADOR', scope='global', linea=13, columna=4}
finregalo SymbolInfo{lexema='finregalo', tipo='FIN_EXPRESION', scope='global', linea=1, columna=26}
finregalo SymbolInfo{lexema='finregalo', tipo='FIN_EXPRESION', scope='global', linea=5, columna=31}
finregalo SymbolInfo{lexema='finregalo', tipo='FIN_EXPRESION', scope='global', linea=6, columna=31}
finregalo SymbolInfo{lexema='finregalo', tipo='FIN_EXPRESION', scope='global', linea=8, columna=45}
finregalo SymbolInfo{lexema='finregalo', tipo='FIN_EXPRESION', scope='global', linea=11, columna=46}
finregalo SymbolInfo{lexema='finregalo', tipo='FIN_EXPRESION', scope='global', linea=13, columna=40}
_n_ SymbolInfo{lexema='_n_', tipo='IDENTIFICADOR', scope='global', linea=6, columna=12}
_n_ SymbolInfo{lexema='_n_', tipo='IDENTIFICADOR', scope='global', linea=7, columna=38}
_numero_ SymbolInfo{lexema='_numero_', tipo='IDENTIFICADOR', scope='global', linea=5, columna=12}
_numero_ SymbolInfo{lexema='_numero_', tipo='IDENTIFICADOR', scope='global', linea=7, columna=20}
entrega SymbolInfo{lexema='entrega', tipo='ASIGNACION', scope='global', linea=5, columna=21}
entrega SymbolInfo{lexema='entrega', tipo='ASIGNACION', scope='global', linea=6, columna=16}
abrecuento SymbolInfo{lexema='abrecuento', tipo='LLAVE_ABRE', scope='global', linea=0, columna=64}
abrecuento SymbolInfo{lexema='abrecuento', tipo='LLAVE_ABRE', scope='global', linea=4, columna=9}
abrecuento SymbolInfo{lexema='abrecuento', tipo='LLAVE_ABRE', scope='global', linea=7, columna=55}
abrecuento SymbolInfo{lexema='abrecuento', tipo='LLAVE_ABRE', scope='global', linea=10, columna=9}
_verano_ SymbolInfo{lexema='_verano_', tipo='MAIN', scope='global', linea=4, columna=0}
cierracuento SymbolInfo{lexema='cierracuento', tipo='LLAVE_CIERRA', scope='global', linea=2, columna=0}
cierracuento SymbolInfo{lexema='cierracuento', tipo='LLAVE_CIERRA', scope='global', linea=9, columna=4}
cierracuento SymbolInfo{lexema='cierracuento', tipo='LLAVE_CIERRA', scope='global', linea=12, columna=4}
cierracuento SymbolInfo{lexema='cierracuento', tipo='LLAVE_CIERRA', scope='global', linea=14, columna=0}
_b_ SymbolInfo{lexema='_b_', tipo='IDENTIFICADOR', scope='global', linea=0, columna=47}
_b_ SymbolInfo{lexema='_b_', tipo='IDENTIFICADOR', scope='global', linea=1, columna=22}
elfo SymbolInfo{lexema='elfo', tipo='IF', scope='global', linea=7, columna=4}
, SymbolInfo{lexema=',', tipo='COMA', scope='global', linea=0, columna=37}
, SymbolInfo{lexema=',', tipo='COMA', scope='global', linea=13, columna=23}
cierraregalo SymbolInfo{lexema='cierraregalo', tipo='PARENTESIS_CIERRA', scope='global', linea=0, columna=51}
cierraregalo SymbolInfo{lexema='cierraregalo', tipo='PARENTESIS_CIERRA', scope='global', linea=7, columna=42}
cierraregalo SymbolInfo{lexema='cierraregalo', tipo='PARENTESIS_CIERRA', scope='global', linea=8, columna=32}
cierraregalo SymbolInfo{lexema='cierraregalo', tipo='PARENTESIS_CIERRA', scope='global', linea=11, columna=33}
cierraregalo SymbolInfo{lexema='cierraregalo', tipo='PARENTESIS_CIERRA', scope='global', linea=13, columna=27}
narra SymbolInfo{lexema='narra', tipo='PRINT', scope='global', linea=8, columna=8}
narra SymbolInfo{lexema='narra', tipo='PRINT', scope='global', linea=11, columna=8}
5 SymbolInfo{lexema='5', tipo='LIT_ENTERO', scope='global', linea=5, columna=29}
"adios" SymbolInfo{lexema='"adios"', tipo='LIT_CADENA', scope='global', linea=11, columna=25}
"hola" SymbolInfo{lexema='"hola"', tipo='LIT_CADENA', scope='global', linea=8, columna=25}
8 SymbolInfo{lexema='8', tipo='LIT_ENTERO', scope='global', linea=13, columna=22}
9 SymbolInfo{lexema='9', tipo='LIT_ENTERO', scope='global', linea=13, colum
